% This file was created by save_d0_to_file.m. It contains the various calibrated values of d0 for values of (beta,gamma,mobility,cong,ngoods).
beta=1.000000 gamma=1.000000 mobility=1 cong=0 ngoods=5 d0=0.441950
beta=1.000000 gamma=1.000000 mobility=0 cong=0 ngoods=5 d0=0.165158
beta=1.000000 gamma=0.500000 mobility=1 cong=0 ngoods=5 d0=0.250000
beta=1.000000 gamma=0.500000 mobility=0 cong=0 ngoods=5 d0=0.100147
beta=1.000000 gamma=1.500000 mobility=1 cong=0 ngoods=5 d0=0.729173
beta=1.000000 gamma=1.500000 mobility=0 cong=0 ngoods=5 d0=0.270776
beta=1.244600 gamma=1.244600 mobility=1 cong=0 ngoods=5 d0=0.950506
beta=1.244600 gamma=1.244600 mobility=0 cong=0 ngoods=5 d0=0.338704
beta=1.244600 gamma=0.622300 mobility=1 cong=0 ngoods=5 d0=0.242788
beta=1.244600 gamma=1.866900 mobility=1 cong=0 ngoods=5 d0=1.507810
beta=1.244600 gamma=0.622300 mobility=0 cong=0 ngoods=5 d0=1.204159
beta=1.244600 gamma=1.866900 mobility=0 cong=0 ngoods=5 d0=0.467425
beta=1.244600 gamma=0.622300 mobility=0 cong=0 ngoods=10 d0=1.204159
beta=1.244600 gamma=0.622300 mobility=0 cong=0 ngoods=15 d0=1.406975
beta=1.244600 gamma=0.622300 mobility=1 cong=0 ngoods=15 d0=4.188516
beta=1.244600 gamma=0.622300 mobility=1 cong=0 ngoods=10 d0=2.740854
beta=1.244600 gamma=1.244600 mobility=0 cong=0 ngoods=10 d0=1.000000
beta=1.244600 gamma=1.244600 mobility=0 cong=0 ngoods=15 d0=2.561185
beta=1.244600 gamma=1.244600 mobility=1 cong=0 ngoods=10 d0=5.097746
beta=1.244600 gamma=1.244600 mobility=1 cong=0 ngoods=15 d0=6.733848
beta=1.244600 gamma=1.866900 mobility=0 cong=0 ngoods=10 d0=4.331367
beta=1.244600 gamma=1.866900 mobility=1 cong=0 ngoods=10 d0=9.825949
beta=1.244600 gamma=1.866900 mobility=0 cong=0 ngoods=15 d0=4.869628
beta=1.244600 gamma=1.866900 mobility=1 cong=0 ngoods=15 d0=9.861408
beta=1.244600 gamma=1.244600 mobility=0 cong=0 ngoods=2 d0=1.000000
beta=1.244600 gamma=1.244600 mobility=1 cong=0 ngoods=2 d0=0.039600
beta=1.244600 gamma=1.244600 mobility=0 cong=1 ngoods=10 d0=0.468727
beta=1.244600 gamma=1.244600 mobility=1 cong=1 ngoods=10 d0=5.097746
beta=1.244600 gamma=0.622300 mobility=0 cong=1 ngoods=10 d0=0.264373
beta=1.244600 gamma=0.622300 mobility=1 cong=1 ngoods=10 d0=2.439262
beta=1.244600 gamma=1.866900 mobility=0 cong=1 ngoods=10 d0=0.880867
beta=1.244600 gamma=1.866900 mobility=1 cong=1 ngoods=10 d0=7.997109
beta=0.500000 gamma=0.500000 mobility=0 cong=0 ngoods=10 d0=0.011073
beta=0.500000 gamma=0.500000 mobility=0 cong=1 ngoods=10 d0=0.011624
beta=0.130000 gamma=0.130000 mobility=0 cong=0 ngoods=10 d0=0.001198
beta=0.130000 gamma=0.130000 mobility=0 cong=1 ngoods=10 d0=0.001918
beta=0.130000 gamma=0.100000 mobility=0 cong=0 ngoods=5 d0=0.000384
beta=0.130000 gamma=0.100000 mobility=0 cong=1 ngoods=5 d0=0.001000
beta=1.244600 gamma=1.244600 mobility=0 cong=1 ngoods=5 d0=0.222592
beta=1.244600 gamma=1.244600 mobility=1 cong=1 ngoods=5 d0=1.162422
beta=0.130000 gamma=0.100000 mobility=1 cong=1 ngoods=5 d0=0.001081
beta=0.130000 gamma=0.169000 mobility=0 cong=1 ngoods=5 d0=0.001191
beta=0.130000 gamma=0.169000 mobility=1 cong=1 ngoods=5 d0=0.001191
beta=1.244600 gamma=0.622300 mobility=0 cong=1 ngoods=5 d0=0.122025
beta=1.244600 gamma=0.622300 mobility=1 cong=1 ngoods=5 d0=0.518271
beta=1.244600 gamma=1.866900 mobility=0 cong=1 ngoods=5 d0=0.434766
beta=1.244600 gamma=1.866900 mobility=1 cong=1 ngoods=5 d0=1.559620
beta=0.130000 gamma=0.100000 mobility=0 cong=1 ngoods=15 d0=0.001901
beta=0.130000 gamma=0.100000 mobility=1 cong=1 ngoods=15 d0=0.002048
beta=0.130000 gamma=0.169000 mobility=0 cong=1 ngoods=15 d0=0.002100
beta=0.130000 gamma=0.169000 mobility=1 cong=1 ngoods=15 d0=0.002263
beta=0.130000 gamma=0.100000 mobility=0 cong=1 ngoods=10 d0=0.001809
beta=0.130000 gamma=0.100000 mobility=1 cong=1 ngoods=10 d0=0.002048
beta=0.130000 gamma=0.169000 mobility=0 cong=1 ngoods=10 d0=0.001998
beta=0.130000 gamma=0.169000 mobility=1 cong=1 ngoods=10 d0=0.002263
beta=0.130000 gamma=0.100000 mobility=0.5 cong=1 ngoods=5 d0=0.001081
beta=0.130000 gamma=0.100000 mobility=0.5 cong=0 ngoods=5 d0=0.001081

